"filename", "language", "Properties", "Gradle", "Batch", "JSON", "XML", "Java Properties", "Java", "Log", "comment", "blank", "total"
"d:\Programming\Projects\ChiChess\chess\.env", "Properties", 5, 0, 0, 0, 0, 0, 0, 0, 0, 4, 9
"d:\Programming\Projects\ChiChess\chess\build.gradle", "Gradle", 0, 45, 0, 0, 0, 0, 0, 0, 0, 6, 51
"d:\Programming\Projects\ChiChess\chess\gradle\wrapper\gradle-wrapper.properties", "Java Properties", 0, 0, 0, 0, 0, 7, 0, 0, 0, 1, 8
"d:\Programming\Projects\ChiChess\chess\gradlew.bat", "Batch", 0, 0, 40, 0, 0, 0, 0, 0, 32, 22, 94
"d:\Programming\Projects\ChiChess\chess\logs\cms.2026-01-08.0.log", "Log", 0, 0, 0, 0, 0, 0, 0, 317, 0, 3, 320
"d:\Programming\Projects\ChiChess\chess\run.bat", "Batch", 0, 0, 11, 0, 0, 0, 0, 0, 2, 3, 16
"d:\Programming\Projects\ChiChess\chess\settings.gradle", "Gradle", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\Programming\Projects\ChiChess\chess\src\main\java\kz\chitas\chess\ChessApplication.java", "Java", 0, 0, 0, 0, 0, 0, 9, 0, 0, 5, 14
"d:\Programming\Projects\ChiChess\chess\src\main\java\kz\chitas\chess\config\CHandshakeInterceptor.java", "Java", 0, 0, 0, 0, 0, 0, 42, 0, 0, 14, 56
"d:\Programming\Projects\ChiChess\chess\src\main\java\kz\chitas\chess\config\Config.java", "Java", 0, 0, 0, 0, 0, 0, 12, 0, 0, 5, 17
"d:\Programming\Projects\ChiChess\chess\src\main\java\kz\chitas\chess\config\JwtFilter.java", "Java", 0, 0, 0, 0, 0, 0, 47, 0, 0, 11, 58
"d:\Programming\Projects\ChiChess\chess\src\main\java\kz\chitas\chess\config\SecurityConfiguration.java", "Java", 0, 0, 0, 0, 0, 0, 48, 0, 2, 10, 60
"d:\Programming\Projects\ChiChess\chess\src\main\java\kz\chitas\chess\config\ValidationHandler.java", "Java", 0, 0, 0, 0, 0, 0, 16, 0, 0, 5, 21
"d:\Programming\Projects\ChiChess\chess\src\main\java\kz\chitas\chess\config\WebSocketConfig.java", "Java", 0, 0, 0, 0, 0, 0, 21, 0, 0, 7, 28
"d:\Programming\Projects\ChiChess\chess\src\main\java\kz\chitas\chess\controller\ChessWebSocketHandler.java", "Java", 0, 0, 0, 0, 0, 0, 87, 0, 1, 14, 102
"d:\Programming\Projects\ChiChess\chess\src\main\java\kz\chitas\chess\controller\MainController.java", "Java", 0, 0, 0, 0, 0, 0, 25, 0, 0, 10, 35
"d:\Programming\Projects\ChiChess\chess\src\main\java\kz\chitas\chess\controller\UserController.java", "Java", 0, 0, 0, 0, 0, 0, 51, 0, 12, 8, 71
"d:\Programming\Projects\ChiChess\chess\src\main\java\kz\chitas\chess\interfaces\ChessGameService.java", "Java", 0, 0, 0, 0, 0, 0, 8, 0, 1, 7, 16
"d:\Programming\Projects\ChiChess\chess\src\main\java\kz\chitas\chess\interfaces\RoomManager.java", "Java", 0, 0, 0, 0, 0, 0, 10, 0, 0, 10, 20
"d:\Programming\Projects\ChiChess\chess\src\main\java\kz\chitas\chess\model\auth\AuthCode.java", "Java", 0, 0, 0, 0, 0, 0, 8, 0, 0, 3, 11
"d:\Programming\Projects\ChiChess\chess\src\main\java\kz\chitas\chess\model\auth\DTO\CodeInput.java", "Java", 0, 0, 0, 0, 0, 0, 8, 0, 0, 3, 11
"d:\Programming\Projects\ChiChess\chess\src\main\java\kz\chitas\chess\model\auth\DTO\FingerprintInput.java", "Java", 0, 0, 0, 0, 0, 0, 8, 0, 0, 3, 11
"d:\Programming\Projects\ChiChess\chess\src\main\java\kz\chitas\chess\model\auth\DTO\LoginInput.java", "Java", 0, 0, 0, 0, 0, 0, 12, 0, 0, 3, 15
"d:\Programming\Projects\ChiChess\chess\src\main\java\kz\chitas\chess\model\auth\DTO\RegisterInput.java", "Java", 0, 0, 0, 0, 0, 0, 16, 0, 0, 3, 19
"d:\Programming\Projects\ChiChess\chess\src\main\java\kz\chitas\chess\model\auth\DTO\ResetPasswordInput.java", "Java", 0, 0, 0, 0, 0, 0, 12, 0, 0, 3, 15
"d:\Programming\Projects\ChiChess\chess\src\main\java\kz\chitas\chess\model\auth\DTO\SetNewPasswordInput.java", "Java", 0, 0, 0, 0, 0, 0, 12, 0, 0, 3, 15
"d:\Programming\Projects\ChiChess\chess\src\main\java\kz\chitas\chess\model\auth\DTO\UserDTO.java", "Java", 0, 0, 0, 0, 0, 0, 12, 0, 0, 4, 16
"d:\Programming\Projects\ChiChess\chess\src\main\java\kz\chitas\chess\model\auth\DTO\VerifyCodeInput.java", "Java", 0, 0, 0, 0, 0, 0, 10, 0, 0, 3, 13
"d:\Programming\Projects\ChiChess\chess\src\main\java\kz\chitas\chess\model\auth\FACode.java", "Java", 0, 0, 0, 0, 0, 0, 33, 0, 0, 9, 42
